ROAD TRIP CSV ",."
Version,Language
1500,en


FUEL RECORDS
Odometer (mi),Trip Distance,Date,Fill Amount,Fill Units,Price per Unit,Total Price,Partial Fill,MPG,Note,Octane,Location,Payment,Conditions,Reset,Categories,Flags,Currency Code,Currency Rate,Latitude,Longitude,ID,Trip Comp Fuel Economy,Trip Comp Avg. Speed,Trip Comp Temperature,Trip Comp Drive Time,Tank Number
231520,,"2016-12-11 11:21",11.2,Gal,2.8777,32.23,,,,,,,,Reset,,9,,1,,,1,,,,,0
231729,209,"2016-12-16",10.7,Gal,2.8963,30.99,,19.5327,,,,,,,,0,,1,,,2,,,,,0
231932,203,"2016-12-27 11:16",11.2,Gal,3.0893,34.6,,18.125,,,,,,,,0,,1,32.836524,-117.152631,4,,,,,0
232141,209,"2016-12-31 19:49",10.9,Gal,3.1872,34.74,,19.1743,,,,,,,,0,,1,32.838751,-117.278172,6,,,,,0
232336,195,"2017-1-8 17:20",10.1,Gal,3.2139,32.46,,19.3069,,,,,,,,0,,1,32.832988,-117.163933,8,,,,,0
232526,190,"2017-1-20 22:19",10,Gal,3.202,32.02,,19,,,,,,,,0,,1,32.937711,-117.112836,10,,,,,0
232743,217,"2017-1-27 7:55",11.2,Gal,3.1946,35.78,,19.375,,,,,,,,0,,1,32.937623,-117.112793,12,,,,,0
232955,212,"2017-2-3 18:41",10.8,Gal,3.259,35.2,,19.6296,,,,,,,,0,,1,32.833024,-117.163869,14,,,,,0
233154,199,"2017-2-7 17:51",10.598,Gal,3.1591,33.48,,18.7771,,,,,,,,0,,1,32.838851,-117.278063,16,,,,,0
233354,200,"2017-2-14 14:23",10.158,Gal,3.3392,33.92,,19.6889,,,,,,,,0,,1,32.820438,-117.178616,18,,,,,0
233545,191,"2017-2-18 21:52",10.057,Gal,3.3191,33.38,,18.9917,,,,,,,,0,,1,32.83873,-117.278044,20,,,,,0
233761,216,"2017-3-9 12:18",11.148,Gal,3.3791,37.67,,19.3757,,,,,,,,0,,1,32.838919,-117.27794,22,,,,,0
233958,197,"2017-3-14 16:11",10.305,Gal,3.2887,33.89,,19.1169,,,,,,,,0,,1,32.977366,-117.083097,24,,,,,0
234176,218,"2017-3-20 10:43",11.325,Gal,3.2989,37.36,,19.2494,,,,,,,,0,,1,32.836537,-117.152774,26,,,,,0
234355,179,"2017-3-24 10:33",8.838,Gal,3.1987,28.27,,20.2535,,,,,,,,0,,1,32.934331,-117.060451,28,,,,,0
234560,205,"2017-3-26 16:35",10.221,Gal,3.1993,32.7,,20.0567,,,,,,,,0,,1,32.937578,-117.112779,30,,,,,0
234779,219,"2017-3-31 13:05",11.091,Gal,3.3189,36.81,,19.7457,,,,,,,,0,,1,32.977132,-117.083235,32,,,,,0
234976,197,"2017-4-8 22:32",9.874,Gal,3.2591,32.18,,19.9514,,,,,,,,0,,1,32.937627,-117.112809,34,,,,,0
235201,225,"2017-4-11 13:02",10.851,Gal,3.3389,36.23,,20.7354,,,,,,,,0,,1,32.820608,-117.178907,36,,,,,0
235442,241,"2017-4-13 22:01",11.677,Gal,3.4589,40.39,,20.6389,,,,,,,,0,,1,33.133618,-117.059495,38,,,,,0
235657,215,"2017-4-15 16:23",10.44,Gal,3.2395,33.82,,20.5939,,,,,,,,0,,1,32.799282,-117.241147,40,,,,,0
235862,205,"2017-4-24 11:55",10.929,Gal,3.1787,34.74,,18.7574,,,,,,,,0,,1,32.977109,-117.083333,42,,,,,0
236069,207,"2017-4-29 10:33",10.014,Gal,3.3194,33.24,,20.6711,,,,,,,,0,,1,33.018232,-117.075098,44,,,,,0
236280,211,"2017-5-1 12:05",10.6,Gal,3.6991,39.21,,19.9057,,,,,,,,0,,1,33.122602,-117.319741,46,,,,,0
236503,223,"2017-5-4 7:38",10.018,Gal,3.5985,36.05,,22.2599,,,,,,,,0,,1,32.978946,-117.250149,48,,,,,0
236731,228,"2017-5-8 17:07",10.77,Gal,3.2591,35.1,,21.1699,,,,,,,,0,,1,33.145769,-117.241766,50,,,,,0
236945,214,"2017-5-11 19:34",9.709,Gal,3.3186,32.22,,22.0414,,,,,,,,0,,1,32.838856,-117.277942,52,,,,,0
